Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 71.0.3578.98,,2019-01-05 21:53:08,2019-01-05 21:53:36,28.046s,PASSED
,,,,,,
Test Cases/ICRC External - Login Sample Data File,Chrome 71.0.3578.98,Login with Data File,2019-01-05 21:53:09,2019-01-05 21:53:21,12.154s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-05 21:53:09,2019-01-05 21:53:13,3.925s,PASSED
"navigateToUrl(""https://icrc-test.nci.nih.gov/"")",Chrome 71.0.3578.98,,2019-01-05 21:53:13,2019-01-05 21:53:17,3.556s,PASSED
"click(findTestObject(""Object Repository/Page_Introduction to Cancer Researc/a_Login""))",Chrome 71.0.3578.98,,2019-01-05 21:53:17,2019-01-05 21:53:17,0.580s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Email Address_username""), emailaddress)",Chrome 71.0.3578.98,,2019-01-05 21:53:17,2019-01-05 21:53:18,0.351s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""iFGeFYmXIrWy72D5I5E8Dw=="")",Chrome 71.0.3578.98,,2019-01-05 21:53:18,2019-01-05 21:53:18,0.327s,PASSED
"click(findTestObject(""Object Repository/Page_Login/input_Password_userlogin_0""))",Chrome 71.0.3578.98,,2019-01-05 21:53:18,2019-01-05 21:53:20,1.682s,PASSED
"click(findTestObject(""Page_ICRC Application/a_Log out (1)""))",Chrome 71.0.3578.98,,2019-01-05 21:53:20,2019-01-05 21:53:20,0.392s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-05 21:53:20,2019-01-05 21:53:21,0.717s,PASSED
,,,,,,
Test Cases/ICRC External - Login Sample Data File,Chrome 71.0.3578.98,Login with Data File,2019-01-05 21:53:21,2019-01-05 21:53:28,7.048s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-05 21:53:21,2019-01-05 21:53:23,1.983s,PASSED
"navigateToUrl(""https://icrc-test.nci.nih.gov/"")",Chrome 71.0.3578.98,,2019-01-05 21:53:23,2019-01-05 21:53:24,1.409s,PASSED
"click(findTestObject(""Object Repository/Page_Introduction to Cancer Researc/a_Login""))",Chrome 71.0.3578.98,,2019-01-05 21:53:24,2019-01-05 21:53:25,0.435s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Email Address_username""), emailaddress)",Chrome 71.0.3578.98,,2019-01-05 21:53:25,2019-01-05 21:53:25,0.332s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""iFGeFYmXIrWy72D5I5E8Dw=="")",Chrome 71.0.3578.98,,2019-01-05 21:53:25,2019-01-05 21:53:25,0.189s,PASSED
"click(findTestObject(""Object Repository/Page_Login/input_Password_userlogin_0""))",Chrome 71.0.3578.98,,2019-01-05 21:53:25,2019-01-05 21:53:27,1.586s,PASSED
"click(findTestObject(""Page_ICRC Application/a_Log out (1)""))",Chrome 71.0.3578.98,,2019-01-05 21:53:27,2019-01-05 21:53:27,0.392s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-05 21:53:27,2019-01-05 21:53:28,0.705s,PASSED
,,,,,,
Test Cases/ICRC External - Login Sample Data File,Chrome 71.0.3578.98,Login with Data File,2019-01-05 21:53:28,2019-01-05 21:53:36,8.316s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-05 21:53:28,2019-01-05 21:53:30,1.896s,PASSED
"navigateToUrl(""https://icrc-test.nci.nih.gov/"")",Chrome 71.0.3578.98,,2019-01-05 21:53:30,2019-01-05 21:53:33,2.827s,PASSED
"click(findTestObject(""Object Repository/Page_Introduction to Cancer Researc/a_Login""))",Chrome 71.0.3578.98,,2019-01-05 21:53:33,2019-01-05 21:53:33,0.437s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_Email Address_username""), emailaddress)",Chrome 71.0.3578.98,,2019-01-05 21:53:33,2019-01-05 21:53:33,0.280s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_Password_password""), ""iFGeFYmXIrWy72D5I5E8Dw=="")",Chrome 71.0.3578.98,,2019-01-05 21:53:33,2019-01-05 21:53:34,0.198s,PASSED
"click(findTestObject(""Object Repository/Page_Login/input_Password_userlogin_0""))",Chrome 71.0.3578.98,,2019-01-05 21:53:34,2019-01-05 21:53:35,1.620s,PASSED
"click(findTestObject(""Page_ICRC Application/a_Log out (1)""))",Chrome 71.0.3578.98,,2019-01-05 21:53:35,2019-01-05 21:53:36,0.340s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2019-01-05 21:53:36,2019-01-05 21:53:36,0.704s,PASSED
