Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration - Liz,Chrome 71.0.3578.98,,2019-01-09 12:24:33,2019-01-09 12:24:46,13.504s,PASSED
,,,,,,
Test Cases/ICRC External - Registration - Liz,Chrome 71.0.3578.98,Test Case for Sign-Up,2019-01-09 12:24:33,2019-01-09 12:24:46,12.351s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-09 12:24:34,2019-01-09 12:24:37,3.444s,PASSED
"navigateToUrl(""https://icrc-test.nci.nih.gov/"")",Chrome 71.0.3578.98,,2019-01-09 12:24:37,2019-01-09 12:24:39,1.068s,PASSED
"click(findTestObject(""Page_Introduction to Cancer Researc/a_Register""))",Chrome 71.0.3578.98,,2019-01-09 12:24:39,2019-01-09 12:24:39,0.564s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input__usPersonType (3)""))",Chrome 71.0.3578.98,,2019-01-09 12:24:39,2019-01-09 12:24:39,0.162s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input_U.S. Citizen_usPersonTyp (1)""))",Chrome 71.0.3578.98,,2019-01-09 12:24:39,2019-01-09 12:24:39,0.098s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Alien Registration Number (1)""))",Chrome 71.0.3578.98,,2019-01-09 12:24:39,2019-01-09 12:24:39,0.154s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""162"", true)",Chrome 71.0.3578.98,,2019-01-09 12:24:39,2019-01-09 12:24:40,0.449s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""164"", true)",Chrome 71.0.3578.98,,2019-01-09 12:24:40,2019-01-09 12:24:40,0.325s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Are you U.S. CitizenPerman (1)""))",Chrome 71.0.3578.98,,2019-01-09 12:24:40,2019-01-09 12:24:40,0.100s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""149"", true)",Chrome 71.0.3578.98,,2019-01-09 12:24:40,2019-01-09 12:24:41,0.247s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input__usPersonType (3)""))",Chrome 71.0.3578.98,,2019-01-09 12:24:41,2019-01-09 12:24:41,0.143s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--Select--    Dr.    Mr (1)""), ""166"", true)",Chrome 71.0.3578.98,,2019-01-09 12:24:41,2019-01-09 12:24:41,0.361s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/label_Prefix (1)""))",Chrome 71.0.3578.98,,2019-01-09 12:24:41,2019-01-09 12:24:41,0.128s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Prefix            --Select (1)""))",Chrome 71.0.3578.98,,2019-01-09 12:24:41,2019-01-09 12:24:41,0.140s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/label_First Name (1)""))",Chrome 71.0.3578.98,,2019-01-09 12:24:41,2019-01-09 12:24:42,0.106s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_First Name (1)""))",Chrome 71.0.3578.98,,2019-01-09 12:24:42,2019-01-09 12:24:42,0.128s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input__firstName (1)""), FirstName)",Chrome 71.0.3578.98,,2019-01-09 12:24:42,2019-01-09 12:24:42,0.199s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input__lastName (1)""), LastName)",Chrome 71.0.3578.98,,2019-01-09 12:24:42,2019-01-09 12:24:42,0.148s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input__email (1)""), EmailAddress)",Chrome 71.0.3578.98,,2019-01-09 12:24:42,2019-01-09 12:24:42,0.182s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input__password (1)""), Password)",Chrome 71.0.3578.98,,2019-01-09 12:24:42,2019-01-09 12:24:42,0.152s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input__confirmPassword (1)""), ConfirmPassword)",Chrome 71.0.3578.98,,2019-01-09 12:24:42,2019-01-09 12:24:42,0.110s,PASSED
"setText(findTestObject(""Object Repository/Page_Registration/input_Address Line 1_address1 (1)""), ""123 Fake St"")",Chrome 71.0.3578.98,,2019-01-09 12:24:42,2019-01-09 12:24:43,0.188s,PASSED
