Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration-Simran,Chrome 71.0.3578.98,,2019-01-09 15:03:45,2019-01-09 15:04:20,34.706s,PASSED
,,,,,,
Test Cases/ICRC External - Registration - Simran,Chrome 71.0.3578.98,Test Case for Sign-Up,2019-01-09 15:03:46,2019-01-09 15:03:57,11.931s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-09 15:03:46,2019-01-09 15:03:49,2.752s,PASSED
"navigateToUrl(""https://icrc-test.nci.nih.gov/"")",Chrome 71.0.3578.98,,2019-01-09 15:03:49,2019-01-09 15:03:50,0.931s,PASSED
"click(findTestObject(""Page_Introduction to Cancer Researc/a_Register""))",Chrome 71.0.3578.98,,2019-01-09 15:03:50,2019-01-09 15:03:50,0.473s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input__usPersonType (3)""))",Chrome 71.0.3578.98,,2019-01-09 15:03:50,2019-01-09 15:03:51,0.134s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input_U.S. Citizen_usPersonTyp (1)""))",Chrome 71.0.3578.98,,2019-01-09 15:03:51,2019-01-09 15:03:51,0.107s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Alien Registration Number (1)""))",Chrome 71.0.3578.98,,2019-01-09 15:03:51,2019-01-09 15:03:51,0.112s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""162"", true)",Chrome 71.0.3578.98,,2019-01-09 15:03:51,2019-01-09 15:03:51,0.316s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""164"", true)",Chrome 71.0.3578.98,,2019-01-09 15:03:51,2019-01-09 15:03:51,0.250s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Are you U.S. CitizenPerman (1)""))",Chrome 71.0.3578.98,,2019-01-09 15:03:51,2019-01-09 15:03:51,0.092s,PASSED
