Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration-Simran,Chrome 71.0.3578.98,,2019-01-10 15:11:27,2019-01-10 15:12:08,41.229s,PASSED
,,,,,,
Test Cases/ICRC External - Registration - Simran,Chrome 71.0.3578.98,Test Case for Sign-Up,2019-01-10 15:11:27,2019-01-10 15:11:45,17.972s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-10 15:11:28,2019-01-10 15:11:32,3.928s,PASSED
"navigateToUrl(""https://icrc-test.nci.nih.gov/"")",Chrome 71.0.3578.98,,2019-01-10 15:11:32,2019-01-10 15:11:34,2.421s,PASSED
"click(findTestObject(""Page_Introduction to Cancer Researc/a_Register""))",Chrome 71.0.3578.98,,2019-01-10 15:11:34,2019-01-10 15:11:35,0.711s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input__usPersonType (3)""))",Chrome 71.0.3578.98,,2019-01-10 15:11:35,2019-01-10 15:11:35,0.196s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input_U.S. Citizen_usPersonTyp (1)""))",Chrome 71.0.3578.98,,2019-01-10 15:11:35,2019-01-10 15:11:35,0.140s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Alien Registration Number (1)""))",Chrome 71.0.3578.98,,2019-01-10 15:11:35,2019-01-10 15:11:36,0.176s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""162"", true)",Chrome 71.0.3578.98,,2019-01-10 15:11:36,2019-01-10 15:11:36,0.461s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""164"", true)",Chrome 71.0.3578.98,,2019-01-10 15:11:36,2019-01-10 15:11:36,0.364s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Are you U.S. CitizenPerman (1)""))",Chrome 71.0.3578.98,,2019-01-10 15:11:36,2019-01-10 15:11:37,0.169s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""149"", true)",Chrome 71.0.3578.98,,2019-01-10 15:11:37,2019-01-10 15:11:37,0.304s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input__usPersonType (3)""))",Chrome 71.0.3578.98,,2019-01-10 15:11:37,2019-01-10 15:11:37,0.113s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--Select--    Dr.    Mr (1)""), ""166"", true)",Chrome 71.0.3578.98,,2019-01-10 15:11:37,2019-01-10 15:11:37,0.407s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/label_Prefix (1)""))",Chrome 71.0.3578.98,,2019-01-10 15:11:37,2019-01-10 15:11:38,0.145s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Prefix            --Select (1)""))",Chrome 71.0.3578.98,,2019-01-10 15:11:38,2019-01-10 15:11:38,0.200s,PASSED
