Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Registration-Simran,Chrome 71.0.3578.98,,2019-01-11 12:58:29,2019-01-11 12:59:20,50.038s,PASSED
,,,,,,
Test Cases/ICRC External - Registration - Simran,Chrome 71.0.3578.98,Test Case for Sign-Up,2019-01-11 12:58:30,2019-01-11 12:58:49,18.823s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2019-01-11 12:58:31,2019-01-11 12:58:35,4.312s,PASSED
"navigateToUrl(""https://icrc-test.nci.nih.gov/"")",Chrome 71.0.3578.98,,2019-01-11 12:58:35,2019-01-11 12:58:37,1.221s,PASSED
"click(findTestObject(""Page_Introduction to Cancer Researc/a_Register""))",Chrome 71.0.3578.98,,2019-01-11 12:58:37,2019-01-11 12:58:37,0.696s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input__usPersonType (3)""))",Chrome 71.0.3578.98,,2019-01-11 12:58:37,2019-01-11 12:58:38,0.225s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/input_U.S. Citizen_usPersonTyp (1)""))",Chrome 71.0.3578.98,,2019-01-11 12:58:38,2019-01-11 12:58:38,0.144s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Alien Registration Number (1)""))",Chrome 71.0.3578.98,,2019-01-11 12:58:38,2019-01-11 12:58:38,0.208s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""162"", true)",Chrome 71.0.3578.98,,2019-01-11 12:58:38,2019-01-11 12:58:38,0.522s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""164"", true)",Chrome 71.0.3578.98,,2019-01-11 12:58:38,2019-01-11 12:58:39,0.376s,PASSED
"click(findTestObject(""Object Repository/Page_Registration/div_Are you U.S. CitizenPerman (1)""))",Chrome 71.0.3578.98,,2019-01-11 12:58:39,2019-01-11 12:58:39,0.140s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Registration/select_--- Select a level --- (3)""), ""149"", true)",Chrome 71.0.3578.98,,2019-01-11 12:58:39,2019-01-11 12:58:39,0.328s,PASSED
